lead_id,lead_interest_enc,lead_status_enc,lead_stage_enc,next_meeting_type_enc,lead_budget_from,lead_budget_to,lead_has_budget,lead_is_closed,days_since_posting,days_since_followup_created,fup_count,fup_positive_hits,fup_negative_hits,fup_has_audio_long,fup_total_audio_seconds,fup_max_budget,fup_avg_days_gap,fup_days_since_last,score,score_category
13064,1,0,1,1,0.0,0.0,0,0,1.0,1.0,1,1,0,0,0.0,0.0,-1.0,1.0,11.5,Cold
13063,1,0,1,1,0.0,0.0,0,0,1.0,1.0,1,0,0,0,0.0,0.0,-1.0,1.0,10.0,Cold
13062,1,0,1,1,0.0,0.0,0,0,1.0,1.0,1,0,0,0,0.0,0.0,-1.0,1.0,10.0,Cold
13061,1,0,1,1,0.0,0.0,0,0,1.0,1.0,2,0,0,0,91.0,0.0,0.0,1.0,15.0,Cold
13060,1,0,1,1,0.0,0.0,0,0,1.0,1.0,1,0,0,0,0.0,0.0,-1.0,1.0,10.0,Cold
13059,1,0,1,1,0.0,0.0,0,0,1.0,1.0,1,0,0,0,0.0,0.0,-1.0,1.0,10.0,Cold
13058,1,0,1,1,0.0,0.0,0,0,1.0,1.0,1,0,0,0,0.0,0.0,-1.0,1.0,10.0,Cold
13057,1,0,1,1,0.0,0.0,0,0,1.0,1.0,1,0,0,0,0.0,0.0,-1.0,1.0,10.0,Cold
13056,1,0,1,1,0.0,0.0,0,0,1.0,1.0,1,0,0,0,0.0,0.0,-1.0,1.0,10.0,Cold
13055,1,0,1,1,0.0,0.0,0,0,2.0,1.0,1,1,0,0,0.0,0.0,-1.0,2.0,11.5,Cold
13054,1,0,1,1,0.0,0.0,0,0,2.0,1.0,1,0,0,0,0.0,0.0,-1.0,2.0,10.0,Cold
13053,1,0,1,1,0.0,0.0,0,0,2.0,1.0,1,1,0,0,0.0,0.0,-1.0,2.0,11.5,Cold
13052,1,0,1,1,0.0,0.0,0,0,2.0,2.0,1,1,0,0,0.0,0.0,-1.0,2.0,11.5,Cold
13051,1,0,1,1,0.0,0.0,0,0,2.0,2.0,1,1,0,0,0.0,0.0,-1.0,2.0,11.5,Cold
13050,1,0,2,1,0.0,0.0,0,0,2.0,2.0,3,0,0,1,122.0,0.0,0.5,1.0,21.0,Warm
13049,1,0,1,1,0.0,0.0,0,0,2.0,2.0,1,0,0,0,0.0,0.0,-1.0,2.0,10.0,Cold
13048,1,0,2,1,0.0,0.0,0,0,2.0,2.0,2,2,0,0,0.0,0.0,1.0,1.0,14.5,Cold
13047,1,0,2,1,0.0,0.0,0,0,2.0,2.0,6,2,0,1,832.0,0.0,0.0,2.0,24.0,Warm
13046,1,0,1,1,0.0,0.0,0,0,2.0,2.0,2,0,0,0,0.0,0.0,0.0,2.0,10.5,Cold
13045,1,0,1,1,0.0,0.0,0,0,2.0,2.0,2,3,0,0,0.0,0.0,0.0,2.0,15.0,Cold
